"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Hbb-bs2",1.79828370790876e-07,0.129339083980717,0.978,0.771,0.000644684709285289,"19","Hbb-bs",0.207,0.159478214007197
"Ftl12",6.330246145958e-07,0.179482672848795,1,1,0.00226939324332594,"19","Ftl1",0,0
"Cd24a4",1.01806427970057e-06,0.12530878977067,1,0.981,0.00364976044272655,"19","Cd24a",0.019,0.0137711197726006
"Ly6c27",1.2780651057471e-05,0.198178546396774,1,0.992,0.0458186340410334,"19","Ly6c2",0.00800000000000001,0.00578235259400618
"Fth13",3.69126122625544e-05,0.264740985360211,1,0.999,0.132331714961258,"19","Fth1",0.001,0.000721527917459226
"Cd191",6.68345400421824e-18,0.139516930197589,0.99,0.108,2.39601826051224e-14,"20","Cd19",0.882,0.844810549381823
"Ms4a1",3.71923849635636e-17,0.178786230288414,0.898,0.075,1.33334700094375e-13,"20","Ms4a1",0.823,0.820143332544287
"Ly6d1",5.40097920007816e-17,0.4053790022982,1,0.517,1.93625104322802e-13,"20","Ly6d",0.483,0.398778914415054
"Cd79a1",8.30675372175005e-17,0.475262894750348,1,0.596,2.97797120924739e-13,"20","Cd79a",0.404,0.325539348439741
"Cd79b1",1.16947718730991e-16,0.413822428487394,1,0.757,4.19257571650604e-13,"20","Cd79b",0.243,0.186885808653711
"Spib1",4.81948144300564e-16,0.106747995083127,0.959,0.149,1.72778409731752e-12,"20","Spib",0.81,0.769738599621474
"Hvcn1",5.23452016666456e-16,0.107178744370512,0.98,0.365,1.87657547974924e-12,"20","Hvcn1",0.615,0.536599479159757
"Foxp11",3.49964820360056e-15,0.13875285787539,1,0.875,1.2546238809908e-11,"20","Foxp1",0.125,0.0931094043914815
"H2-Ob",3.80573000497981e-15,0.111062335117433,0.888,0.166,1.36435420678526e-11,"20","H2-Ob",0.722,0.695290976161345
"Dusp22",8.34120245387529e-14,0.117379849022961,1,0.821,2.99032107971429e-10,"20","Dusp2",0.179,0.135269077685249
"Cd74",1.1178953564511e-13,1.11500952189122,0.99,0.811,4.00765485287718e-10,"20","Cd74",0.179,0.135981884480843
"H2-Aa",3.28645329872311e-13,0.640214762403922,0.908,0.57,1.17819350759223e-09,"20","H2-Aa",0.338,0.281296612226522
"H2-Ab1",3.43463719326008e-13,0.693878160909473,0.98,0.78,1.23131743378374e-09,"20","H2-Ab1",0.2,0.153623189113212
"Cnp1",4.62922751103147e-13,0.155893942219602,0.98,0.723,1.65957806270478e-09,"20","Cnp",0.257,0.200577728742024
"H2-Eb1",6.05226163682671e-13,0.544615379863822,0.898,0.485,2.16973579680237e-09,"20","H2-Eb1",0.413,0.354017061332981
"Unc93b11",2.39435779559177e-12,0.13039187344495,1,0.726,8.58377269719648e-09,"20","Unc93b1",0.274,0.212567535483132
