"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"Lcn217",7.4330740572986e-12,0.845574646429903,1,0.982,2.66475704954155e-08,"40","Lcn2",0.018,0.0130430374755988
"Ltf14",2.67642938535811e-11,0.590658187209891,1,0.887,9.59499934650881e-08,"40","Ltf",0.113,0.0839055770616417
"Chil314",1.97659446472766e-10,0.636260025314352,1,0.892,7.08609115604864e-07,"40","Chil3",0.108,0.0800879113226918
"S100a817",2.36636531924079e-10,1.25672848418737,1,1,8.48341966947824e-07,"40","S100a8",0,0
"Ngp14",2.70551494407615e-10,0.926772670044217,1,0.987,9.69927107451301e-07,"40","Ngp",0.013,0.00940812741241696
"S100a917",3.30572628732635e-10,1.08853505808015,1,1,1.1851028740065e-06,"40","S100a9",0,0
"Camp15",4.30879478294787e-10,0.898317877502239,1,0.987,1.54470292968681e-06,"40","Camp",0.013,0.00940812741241696
"Ifitm615",1.02653672413596e-09,0.336430022423333,1,0.863,3.68013415602743e-06,"40","Ifitm6",0.137,0.10237232572045
"Lyz219",1.0764679830241e-09,0.830846262438107,1,0.997,3.85913771914138e-06,"40","Lyz2",0.003,0.00216566721811454
"Lrg115",1.63694864547551e-09,0.140948558404437,1,0.391,5.86846089402969e-06,"40","Lrg1",0.609,0.523877580119848
"Cd17714",2.061665508465e-09,0.198199894948099,1,0.429,7.39107084784701e-06,"40","Cd177",0.571,0.484994083566271
"Pglyrp116",8.07818507139626e-09,0.445438424240299,1,0.922,2.89602934809556e-05,"40","Pglyrp1",0.078,0.0573916638883365
"Fcer1g20",1.88765333711739e-08,0.289785277783794,1,0.995,6.76723721356586e-05,"40","Fcer1g",0.005,0.00361125355237883
"Wfdc2116",2.54027066856621e-08,0.432783989214599,1,0.755,9.10687034680985e-05,"40","Wfdc21",0.245,0.188528969470164
"Mmp914",3.8113520629749e-08,0.141569179379066,0.929,0.486,0.00013663697145765,"40","Mmp9",0.443,0.376419027510507
"Anxa117",8.30474422973452e-08,0.289474417645964,1,0.804,0.000297725080635983,"40","Anxa1",0.196,0.148800661406706
"Cybb17",1.06986745542941e-07,0.193980882265389,1,0.602,0.000383547482771443,"40","Cybb",0.398,0.320125852253377
"Alox5ap18",1.93957929107123e-07,0.189060525293789,1,0.971,0.000695339175849036,"40","Alox5ap",0.029,0.0210722236186012
"Tyrobp21",2.09028081583519e-07,0.298318570747653,1,0.996,0.000749365672476915,"40","Tyrobp",0.004,0.00288827932482635
"Mgst117",2.50488709500729e-07,0.111202381860581,1,0.748,0.000898002023560114,"40","Mgst1",0.252,0.194294815161489
"Mmp813",4.3220202608862e-07,0.152956066266204,0.886,0.768,0.0015494442635277,"40","Mmp8",0.118,0.093211401283665
"S100a614",4.57104500647995e-07,0.1644393618317,0.957,0.906,0.00163871963482306,"40","S100a6",0.0509999999999999,0.0380956367168618
"Ncf114",6.4428435716612e-07,0.126111414442862,1,0.701,0.00230975942044054,"40","Ncf1",0.299,0.233616858998702
"Fcnb14",6.88573467171533e-07,0.18386733634918,0.986,0.53,0.00246853587980995,"40","Fcnb",0.456,0.37633396994836
"Cyba18",7.42473559927818e-07,0.253590518694722,1,0.997,0.00266176771234123,"40","Cyba",0.003,0.00216566721811454
"Cd6316",9.46286965453397e-07,0.211096865999377,1,0.844,0.00339243877115043,"40","Cd63",0.156,0.117161344232749
"Slpi14",1.54701595963735e-06,0.140220698120374,0.986,0.946,0.00554605221529991,"40","Slpi",0.04,0.0293539127472624
"Hp17",1.59891374150987e-06,0.329344627874839,1,0.895,0.00573210576331288,"40","Hp",0.105,0.077802151603633
"Ccl615",2.81778228474735e-06,0.105251186798633,0.857,0.74,0.0101017494908193,"40","Ccl6",0.117,0.0938865091993301
"Cd5219",3.43082675509309e-06,0.247261964650229,1,0.984,0.0122995139170087,"40","Cd52",0.016,0.0115879742752118
"Ly6c221",4.478027848623e-06,0.396561087681374,1,0.992,0.0160537298373134,"40","Ly6c2",0.00800000000000001,0.00578235259400618
"Tmsb4x23",6.6325500117374e-06,0.538692732800384,1,1,0.0237776917920786,"40","Tmsb4x",0,0
